Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-01-23 05:38:00+00:00,25273.80078125,25275.44921875,25266.400390625,25268.849609375,0
2026-01-23 05:39:00+00:00,25274.150390625,25280.0,25272.099609375,25274.099609375,0
2026-01-23 05:40:00+00:00,25281.599609375,25283.55078125,25273.5,25274.25,0
2026-01-23 05:41:00+00:00,25281.80078125,25283.650390625,25278.849609375,25281.44921875,0
2026-01-23 05:42:00+00:00,25290.25,25292.30078125,25280.55078125,25281.75,0
2026-01-23 05:43:00+00:00,25288.75,25293.599609375,25288.25,25291.0,0
2026-01-23 05:44:00+00:00,25284.900390625,25289.94921875,25283.5,25288.25,0
2026-01-23 05:45:00+00:00,25277.80078125,25289.900390625,25277.349609375,25285.30078125,0
2026-01-23 05:46:00+00:00,25280.849609375,25281.19921875,25274.099609375,25278.599609375,0
2026-01-23 05:47:00+00:00,25282.900390625,25285.400390625,25281.05078125,25282.349609375,0
2026-01-23 05:48:00+00:00,25270.599609375,25284.05078125,25270.30078125,25282.849609375,0
2026-01-23 05:49:00+00:00,25265.25,25272.69921875,25264.849609375,25270.30078125,0
2026-01-23 05:50:00+00:00,25261.05078125,25267.05078125,25260.44921875,25265.099609375,0
2026-01-23 05:51:00+00:00,25261.099609375,25263.19921875,25254.80078125,25263.19921875,0
2026-01-23 05:52:00+00:00,25266.599609375,25269.75,25260.099609375,25262.150390625,0
2026-01-23 05:53:00+00:00,25270.75,25273.400390625,25265.94921875,25266.44921875,0
2026-01-23 05:54:00+00:00,25264.75,25275.94921875,25264.75,25270.44921875,0
2026-01-23 05:55:00+00:00,25270.94921875,25275.5,25263.30078125,25265.900390625,0
2026-01-23 05:56:00+00:00,25270.55078125,25271.599609375,25266.599609375,25271.44921875,0
2026-01-23 05:57:00+00:00,25274.099609375,25277.349609375,25269.30078125,25270.69921875,0
2026-01-23 05:58:00+00:00,25276.0,25278.0,25274.0,25274.150390625,0
2026-01-23 05:59:00+00:00,25275.30078125,25278.19921875,25273.599609375,25275.25,0
2026-01-23 06:00:00+00:00,25274.69921875,25279.349609375,25272.80078125,25275.849609375,0
2026-01-23 06:01:00+00:00,25268.25,25274.55078125,25266.94921875,25273.400390625,0
2026-01-23 06:02:00+00:00,25269.55078125,25270.400390625,25265.0,25268.400390625,0
2026-01-23 06:03:00+00:00,25260.25,25269.0,25259.55078125,25269.0,0
2026-01-23 06:04:00+00:00,25256.400390625,25261.0,25255.599609375,25260.0,0
2026-01-23 06:05:00+00:00,25252.0,25258.650390625,25251.19921875,25256.44921875,0
2026-01-23 06:06:00+00:00,25253.69921875,25259.25,25251.0,25251.349609375,0
2026-01-23 06:07:00+00:00,25249.0,25255.099609375,25248.150390625,25254.099609375,0
2026-01-23 06:08:00+00:00,25242.05078125,25250.94921875,25242.05078125,25248.349609375,0
2026-01-23 06:09:00+00:00,25229.099609375,25245.900390625,25229.099609375,25242.150390625,0
2026-01-23 06:10:00+00:00,25221.80078125,25230.55078125,25219.400390625,25229.69921875,0
2026-01-23 06:11:00+00:00,25216.150390625,25223.900390625,25212.5,25223.150390625,0
2026-01-23 06:12:00+00:00,25216.349609375,25224.349609375,25212.75,25216.599609375,0
2026-01-23 06:13:00+00:00,25218.30078125,25225.80078125,25216.30078125,25216.30078125,0
2026-01-23 06:14:00+00:00,25211.599609375,25218.30078125,25210.400390625,25217.80078125,0
2026-01-23 06:15:00+00:00,25210.75,25212.400390625,25204.5,25211.44921875,0
2026-01-23 06:16:00+00:00,25210.400390625,25215.80078125,25208.099609375,25210.650390625,0
2026-01-23 06:17:00+00:00,25205.599609375,25212.0,25204.349609375,25210.80078125,0
2026-01-23 06:18:00+00:00,25211.94921875,25213.55078125,25204.05078125,25204.75,0
